Unnamed: 0	title	comment	senta_article	senta_product
2331	[心得] 不能沒有你！smashbox，純真小臉修容粉！	被粉盒生火!!!可以單買粉盒嗎?XDD	positive	positive
387	[心得] Kate謎幻雙色眼影盤試色	好清楚的試色~推薦~但是沒推薦= =|||	positive	
1389	[心得] M.A.C 妝前乳液~~~好用阿~推薦?	漂亮	positive	
3422	[心得] Media新色腮紅，10色都摸到了！(終於)	至少有5色都想買....天阿	negative	
1675	[心得] Coastal Scents 24色高鑽烤瓷眼影盤	可以請問你買的是大約多少錢的呢?好生火啊~讓我也好心動><	neutral	
176	[心得] DIOR 光柔礦物水粉底 V.S. ALBION 夏日雪膚	光柔礦物水粉底真的很好用	positive	
384	[心得] Kate謎幻雙色眼影盤試色	沒錯..有隔開的只要有刷具照樣能混XD我是覺得這系列顯色度跟光澤都很好看,會想買一盤來試看看	positive	
405	[心得] LUNASOL 2010波光淨化#02光之舞姬	02真的很實用，我最近也都是上02居多	positive	
1539	"[心得] 騙很大之年度眼妝""慘""品"	白頭翁XDDDDD  笑倒	positive	
4407	[心得] 令人懷念的FF絲絨光眼影	我的回國前被我弄丟了 ><	neutral	
2845	[心得] 瞬間大眼的秘訣--眼線	不要畫內眼線比較健康喔還有黑色眼線要用咖啡色暈染掉的話可以直接用MJ咖啡色嗎? 很黑也很咖啡也滿自然的那這樣步驟就簡單多了~~~哈哈  的確是滿難戒掉的XD我朋友想要自然大眼，我跟他說用咖啡色她抵死不從耶   直說眼線就是要黑色的!害我的MJ咖啡色被唾棄在旁邊哭	neutral	
3516	[心得] ⊙__⊙!超防水腮紅。MUF HD漾彩腮紅霜。	我看我的瓶底應該是14號吧?我每次用也都是會大爆衝一下子擠出很多,讓我很無言!!而且不知道是不是我皮膚的問題,我每次上完腮紅雙把他推勻後,都會感覺粉粉的像是上不均勻一樣,到了下午更慘,簡直就是結塊在臉上:(有沒有人跟我一樣有這個困擾啊?希望能有解決之道,不然好浪費:(	neutral	
3795	[心得] Solone 眼線膠筆。終於買到金鑽黑了...	fino大這篇的眼影是擦山杜鵑嗎？真好看..	neutral	
2285	[心得] 男性修眉分享!不讓女生專美於前!	不安全刀片    XDDDD	neutral	
1945	[心得] JILL STUART-幸福花嫁限量品分享	本想朋友結婚賀禮，可是開賣隔天就賣光	negative	
3868	[心得] 2010第20屆美容展	買一般的導入一要三思阿！確定有用嘛我們系上醫療的要8千，才能真正導入皮膚裡面阿。便宜的導入儀療效根本達不到肌膚裡面。用了也是白用而且導入按摩方向不對，細紋會產生	negative	
1636	[心得] 【LUNASOL】波光浄化 眼影腮紅全試色	完了完了 要吃泡麵了 = =	neutral	
2656	[心得] 雙面雙眼皮貼-進階版:P	推薦！！ 好實用好心動喔^^	positive	
2906	[心得] Maybelline 快捷摩天濃防水睫毛膏	我會把隱形眼鏡拿下來用藥水洗搓一下就好了	neutral	
3624	[心得] 7款。卸眼唇(眼部卸妝液)小比較。	目前市面上也有出不含界面活性劑的眼部卸粧液。如果消費者越來越重視這部分的話，我想接下來會有更多品牌可選擇的。	negative	
1134	[心得] 蜜粉平均值	敏感話題很敏感了 所以叫我們不要碰她XDD如果手滑打翻了= =+ 應該很想自殺	neutral	
3662	[心得] 我的EXCEL產品使用紀錄	懶惰版是：產品買來直接拍照，期限什麼的都要拍到，檔名依購買日及價格建檔全部放同一檔案夾 以後看照查資料即可	negative	
3932	[心得] 第20屆世貿美容展Day2	朋友之前在花緹做過 東西都還不賴喔!我記得他會在各地市場出沒但我不知道價差多少囉	neutral	
3481	[心得] 好遮色! KATE 潤色裸唇膏 #BE-1	好燒!!有唇色深的人可以分享一下心得嗎 T口T	neutral	
611	[心得] Urban Decay Naked Palette※大地主的愛	哇!!真是推薦大的比較文,不推薦不行!!	positive	
